LocationId,CountOfParticipants,PercetageCapacity,LastUpdatedDateAndTime,LastCount,FacilityId,IsClosed
6697,0,0,2026-09-08T19:58:13.163,24,596,False
9494,0,0,2024-07-05T11:43:25.053,0,727,True
3367,0,0,2026-09-08T20:27:07.993,205,596,False
3368,0,0,2026-09-08T20:27:07.993,22,596,False
5844,0,0,2026-09-08T20:27:07.993,37,596,False
3230,0,0,2026-09-08T20:27:07.993,12,596,False
3231,0,0,2026-09-08T20:27:08.01,18,596,False
3232,0,0,2026-09-08T20:27:08.01,20,596,False
3233,0,0,2026-09-08T20:27:08.01,20,596,False
3234,0,0,2026-09-08T20:27:08.027,14,596,False
3235,0,0,2026-09-08T20:27:08.027,14,596,False
3243,0,0,2026-09-08T20:27:08.047,52,596,False
3253,0,0,2026-09-08T19:58:13.163,39,596,False
3218,0,0,2026-09-08T20:40:30.963,0,597,False
3219,0,0,2026-09-08T20:40:30.963,2,597,False
3221,0,0,2026-09-07T12:49:05.363,18,725,False
4647,0,0,2026-04-17T13:41:32.31,0,725,True
3222,0,0,2026-09-08T20:40:30.977,40,597,False
11263,0,0,2026-09-08T20:40:30.977,19,597,False
3642,0,0,2026-09-08T20:40:30.977,6,597,False
3214,0,0,2026-09-08T20:40:30.977,11,597,False
3216,0,0,2026-09-08T20:40:30.977,12,597,False
